number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_ffn_multiplier,params_hidden_dim,params_lr,params_num_heads,params_num_lstm_layers,params_num_trans_layers,params_weight_decay,state
72,0.00017320525876129977,2026-03-12 16:42:44.168948,2026-03-12 16:42:50.565326,0 days 00:00:06.396378,128,0.37609230406796856,2,128,0.00334576107798063,4,1,2,5.3264788423187546e-05,COMPLETE
73,0.00017280422980547883,2026-03-12 16:42:50.635561,2026-03-12 16:42:57.044557,0 days 00:00:06.408996,128,0.35437901835635804,2,128,0.0035408084344458095,4,1,2,1.4398153338932238e-05,COMPLETE
74,0.00021833422215422615,2026-03-12 16:42:57.111558,2026-03-12 16:42:58.691236,0 days 00:00:01.579678,128,0.3978861057927607,2,128,0.002182162300358064,4,1,2,1.5111591585510105e-05,PRUNED
75,0.0001697446969046723,2026-03-12 16:42:58.758897,2026-03-12 16:43:04.153774,0 days 00:00:05.394877,128,0.3460732658569845,2,128,0.0038983041352883044,4,1,2,1.0030728441907246e-05,COMPLETE
76,0.0002657216950215765,2026-03-12 16:43:04.230987,2026-03-12 16:43:09.309849,0 days 00:00:05.078862,32,0.32138865895935237,2,128,0.004094802030138454,4,1,2,2.1117468847054423e-05,PRUNED
77,0.0002692363159439992,2026-03-12 16:43:09.379124,2026-03-12 16:43:10.980811,0 days 00:00:01.601687,128,0.295045424904306,2,64,0.00402849693147768,4,1,2,3.105377957334483e-05,PRUNED
78,0.0002885333451558836,2026-03-12 16:43:11.052806,2026-03-12 16:43:12.639837,0 days 00:00:01.587031,128,0.3349090001100149,2,32,0.0024403125789745623,4,1,2,1.0049114884693203e-05,PRUNED
79,0.00044135221105534583,2026-03-12 16:43:12.710993,2026-03-12 16:43:14.129891,0 days 00:00:01.418898,256,0.49703343706378667,2,128,0.0032193588786129015,4,1,2,2.1700710440202133e-05,PRUNED
80,0.00024116632994264364,2026-03-12 16:43:14.199890,2026-03-12 16:43:15.744782,0 days 00:00:01.544892,128,0.4830030854727359,2,128,0.0019103491422595902,4,1,2,1.3357829061689132e-05,PRUNED
81,0.00022025829821359366,2026-03-12 16:43:15.814628,2026-03-12 16:43:17.406149,0 days 00:00:01.591521,128,0.3597621981858247,2,128,0.0036499053923476814,4,1,2,1.7503853118664686e-05,PRUNED
82,0.00017292996562900953,2026-03-12 16:43:17.479563,2026-03-12 16:43:23.965172,0 days 00:00:06.485609,128,0.35547366222090937,2,128,0.0032393652708447153,4,1,2,1.3215441611173826e-05,COMPLETE
83,0.0027960989536950365,2026-03-12 16:43:24.035237,2026-03-12 16:43:25.601049,0 days 00:00:01.565812,128,0.45922867972542203,2,128,0.004931323561507668,4,1,2,0.007641510016524478,PRUNED
